x y z
0.5090327 0.87433827 -0.032674182
0.5103122 0.86921287 -0.032756306
0.40300065 0.76441157 -0.03799334
0.40460607 0.77438384 -0.038144697
0.40633234 0.7840935 -0.038307436
0.4081747 0.7935399 -0.03848114
0.4101286 0.8027219 -0.038665343
0.41218916 0.8116382 -0.0388596
0.41435185 0.8202877 -0.039063495
0.41661185 0.8286698 -0.03927655
0.4189645 0.8367827 -0.03949835
0.42140496 0.84462583 -0.03972843
0.42392874 0.852198 -0.039966363
0.42653105 0.859498 -0.0402117
0.4292071 0.8665247 -0.040463984
0.43195233 0.8732772 -0.040722787
0.434762 0.8797542 -0.040987667
0.43763125 0.885955 -0.041258175
0.4405555 0.8918779 -0.04153386
0.44353014 0.8975223 -0.041814297
0.44655034 0.90288705 -0.04209903
0.44961137 0.9079708 -0.042387605
0.45270854 0.91277266 -0.042679593
0.45583725 0.9172916 -0.04297456
0.4589928 0.92152655 -0.04327205
0.4621703 0.92547596 -0.043571606
0.46536505 0.92913914 -0.043872803
0.4685727 0.9325152 -0.044175196
0.4717882 0.9356026 -0.04447834
0.47500694 0.93840057 -0.044781785
0.47822416 0.94090784 -0.045085095
0.4814353 0.94312334 -0.045387827
0.48463547 0.94504607 -0.04568953
0.48782012 0.9466749 -0.045989763
0.4909845 0.9480087 -0.04628809
0.4941239 0.94904643 -0.046584055
0.4972336 0.94978696 -0.046877228
0.5003089 0.9502293 -0.047167156
0.5033451 0.9503722 -0.047453392
0.5063375 0.9502147 -0.047735505
0.5092814 0.9497556 -0.048013043
0.5121721 0.9489939 -0.048285566
0.5150048 0.94792855 -0.04855263
0.517775 0.9465583 -0.048813786
0.52047783 0.9448822 -0.0490686
0.5231086 0.94289905 -0.04931662
0.52566266 0.9406079 -0.0495574
0.5281353 0.93800753 -0.04979051
0.53052175 0.935097 -0.0500155
0.53281736 0.9318751 -0.05023192
0.5350175 0.9283407 -0.050439335
0.5371173 0.9244928 -0.0506373
0.53911215 0.9203303 -0.05082536
0.39843237 0.7579855 -0.04909304
0.40057668 0.7690838 -0.04935726
0.40284902 0.77992874 -0.049637247
0.40524453 0.7905191 -0.0499324
0.40775847 0.80085325 -0.05024216
0.41038594 0.81092954 -0.05056591
0.4131222 0.82074684 -0.05090306
0.41596258 0.8303034 -0.051253036
0.41890213 0.83959764 -0.051615234
0.4219361 0.84862804 -0.05198906
0.42505977 0.85739344 -0.052373942
0.42826825 0.86589223 -0.05276927
0.43155673 0.8741226 -0.05317447
0.43492058 0.8820836 -0.053588945
0.43835497 0.8897733 -0.05401211
0.4418549 0.89719033 -0.05444336
0.4454158 0.90433323 -0.054882113
0.44903287 0.91120046 -0.05532779
0.45270124 0.9177908 -0.05577979
0.45641607 0.92410207 -0.056237523
0.4601727 0.93013346 -0.056700382
0.46396637 0.9358834 -0.057167817
0.4677921 0.94135004 -0.05763921
0.4716452 0.946532 -0.05811397
0.47552085 0.95142806 -0.05859151
0.4794144 0.9560365 -0.05907126
0.4833209 0.96035564 -0.059552595
0.4872356 0.96438456 -0.060034942
0.49115375 0.96812123 -0.06051772
0.49507052 0.9715643 -0.061000317
0.49898112 0.9747124 -0.06148217
0.5028808 0.977564 -0.061962668
0.5067647 0.9801174 -0.06244123
0.51062804 0.9823713 -0.06291725
0.51446617 0.9843243 -0.06339016
0.5182741 0.9859747 -0.06385936
0.52204716 0.987321 -0.06432426
0.5257805 0.98836195 -0.064784266
0.52946943 0.989096 -0.06523879
0.53310907 0.9895214 -0.06568725
0.5366946 0.9896367 -0.06612904
0.5402213 0.9894408 -0.066563584
0.5436844 0.9889317 -0.066990286
0.547079 0.9881082 -0.06740856
0.55040044 0.9869688 -0.06781781
0.5536438 0.98551196 -0.06821744
0.5568044 0.9837361 -0.068606876
0.5598774 0.98163986 -0.06898552
0.56285805 0.9792217 -0.06935278
0.56574154 0.97648 -0.06970806
0.568523 0.97341365 -0.07005078
0.3927057 0.7497762 -0.05934725
0.3953935 0.7620056 -0.05975342
0.39821708 0.773994 -0.06018015
0.40117204 0.7857393 -0.06062672
0.40425342 0.79723984 -0.06109238
