x y z
1.3935397 -0.089449644 2.4553692
1.3952612 -0.08956014 2.467826
1.3973374 -0.08969342 2.4799747
1.3997587 -0.08984883 2.4918146
1.4025148 -0.09002575 2.5033445
1.405597 -0.09022359 2.514565
1.4089948 -0.09044168 2.5254738
1.4126986 -0.090679415 2.5360706
1.4166987 -0.0909362 2.5463552
1.4209855 -0.09121138 2.5563264
1.4255493 -0.0915043 2.5659828
1.4303799 -0.09181437 2.575324
1.4354682 -0.092140995 2.58435
1.4408042 -0.0924835 2.593059
1.4463778 -0.09284126 2.60145
1.4521796 -0.09321367 2.6095228
1.4581999 -0.09360011 2.6172771
1.4644291 -0.09399995 2.6247115
1.470857 -0.09441254 2.6318243
1.477474 -0.09483729 2.6386154
1.4842709 -0.09527356 2.6450849
1.491237 -0.09572072 2.6512308
1.4983636 -0.09617815 2.6570523
1.5056401 -0.096645236 2.6625497
1.5130572 -0.097121336 2.667721
1.5206053 -0.097605824 2.6725664
1.5282742 -0.09809809 2.6770847
1.5360545 -0.098597504 2.6812737
1.5439364 -0.09910343 2.685135
1.55191 -0.099615246 2.6886666
1.5599657 -0.10013235 2.691867
1.5680939 -0.10065408 2.6947365
1.5762848 -0.10117983 2.6972742
1.5845283 -0.101708986 2.6994789
1.5928153 -0.102240905 2.7013495
1.6011354 -0.10277496 2.7028859
1.6094793 -0.10331054 2.7040868
1.617837 -0.10384703 2.7049518
1.626199 -0.10438377 2.7054799
1.6345553 -0.10492015 2.70567
1.6428965 -0.10545555 2.7055218
1.6512125 -0.10598935 2.7050343
1.6594939 -0.10652093 2.7042062
1.6677307 -0.10704964 2.7030375
1.6759133 -0.107574865 2.7015269
1.6840318 -0.10809599 2.6996737
1.3791575 -0.1300216 2.3741732
1.3807219 -0.1301691 2.39141
1.3827047 -0.13035603 2.4083576
1.3850962 -0.13058153 2.4250152
1.3878869 -0.1308446 2.4413838
1.3910668 -0.13114439 2.4574585
1.3946263 -0.13147996 2.473241
1.3985556 -0.13185036 2.4887285
1.4028447 -0.13225476 2.50392
1.4074842 -0.1326921 2.518815
1.412464 -0.13316162 2.533411
1.4177749 -0.13366233 2.5477083
1.4234066 -0.13419324 2.5617037
1.4293499 -0.13475354 2.5753984
1.4355948 -0.1353423 2.5887892
1.4421314 -0.13595854 2.6018753
1.44895 -0.13660136 2.6146557
1.456041 -0.1372699 2.6271293
1.4633949 -0.13796316 2.6392953
1.4710013 -0.13868028 2.6511514
1.4788507 -0.13942032 2.6626961
1.486934 -0.14018235 2.6739302
1.4952406 -0.14096549 2.6848505
1.503761 -0.14176874 2.6954563
1.5124857 -0.14259128 2.7057457
1.521405 -0.14343216 2.7157197
1.5305088 -0.1442904 2.7253747
1.5397875 -0.14516518 2.7347102
1.5492313 -0.1460555 2.7437258
1.5588307 -0.14696051 2.7524192
1.5685759 -0.14787923 2.7607896
1.5784568 -0.14881077 2.7688355
1.5884641 -0.14975421 2.776556
1.5985879 -0.15070865 2.7839496
1.6088182 -0.15167314 2.7910154
1.6191458 -0.15264677 2.7977514
1.6295604 -0.15362862 2.804157
1.6400524 -0.15461779 2.8102307
1.6506126 -0.15561333 2.815972
1.6612304 -0.15661435 2.821379
1.6718967 -0.15761994 2.82645
1.6826016 -0.15862915 2.8311849
1.6933353 -0.15964107 2.8355813
1.7040879 -0.16065478 2.8396387
1.7148498 -0.16166937 2.8433557
1.7256113 -0.16268395 2.8467307
1.7363628 -0.16369753 2.8497632
1.7470943 -0.16470927 2.8524513
1.7577962 -0.16571818 2.854794
1.7684585 -0.1667234 2.85679
1.7790718 -0.16772397 2.8584383
1.3635238 -0.16800724 2.3542144
1.3668892 -0.1684219 2.3747618
1.370691 -0.16889033 2.395043
1.3749192 -0.1694113 2.4150574
1.3795642 -0.16998367 2.4348028
1.3846163 -0.17060615 2.4542766
1.3900658 -0.17127761 2.4734795
1.3959033 -0.17199686 2.4924073
1.4021188 -0.17276269 2.5110605
1.408702 -0.1735739 2.5294359
1.4156442 -0.1744293 2.5475318
1.4229357 -0.17532769 2.5653472
1.430566 -0.17626786 2.5828803
1.4385263 -0.17724867 2.6001296
1.4468062 -0.17826891 2.6170926
1.4553963 -0.17932734 2.633768
1.4642868 -0.18042278 2.650155
1.4734681 -0.1815541 2.6662514
1.4829305 -0.18272002 2.6820548
1.4926645 -0.18391937 2.697564
1.50266 -0.18515095 2.7127774
1.5129075 -0.18641362 2.7276938
1.5233973 -0.18770613 2.7423112
1.5341198 -0.1890273 2.7566268
1.5450649 -0.19037591 2.7706401
1.5562238 -0.19175082 2.7843494
1.5675858 -0.19315083 2.797753
1.5791419 -0.1945747 2.810849
1.5908818 -0.19602124 2.8236356
1.6027964 -0.1974893 2.8361115
1.6148756 -0.19897766 2.8482745
1.6271098 -0.2004851 2.860123
1.6394897 -0.2020105 2.8716564
1.6520048 -0.20355256 2.8828714
1.6646463 -0.20511018 2.8937676
1.6774037 -0.20668209 2.904343
1.6902679 -0.20826715 2.9145951
1.703229 -0.20986415 2.924523
1.7162772 -0.2114719 2.934125
1.7294029 -0.2130892 2.9433994
1.7425964 -0.21471484 2.9523442
1.7558479 -0.21634765 2.9609582
1.7691481 -0.21798642 2.9692395
1.7824868 -0.21962996 2.977186
1.7958547 -0.22127707 2.9847965
1.8092417 -0.22292657 2.9920695
1.8226385 -0.22457725 2.9990032
1.8360351 -0.22622792 3.0055954
1.8494221 -0.22787741 3.011845
1.8627895 -0.22952448 3.0177498
1.8761277 -0.23116796 3.0233088
1.343926 -0.20309937 2.3287175
1.3491174 -0.20388392 2.3526158
1.3547655 -0.20473747 2.3762786
1.360861 -0.20565867 2.3997045
1.3673943 -0.20664604 2.4228919
1.3743556 -0.20769803 2.445837
1.3817354 -0.20881332 2.468539
1.3895243 -0.20999037 2.4909961
1.3977123 -0.21122779 2.5132053
1.40629 -0.21252409 2.5351639
1.4152479 -0.21387786 2.556871
1.4245766 -0.21528763 2.5783243
1.434266 -0.21675195 2.5995214
1.4443069 -0.21826938 2.6204607
1.4546897 -0.21983849 2.6411395
1.4654047 -0.2214577 2.6615558
1.4764422 -0.22312577 2.6817076
1.4877927 -0.22484109 2.7015927
1.4994469 -0.22660232 2.7212093
1.5113946 -0.2284079 2.7405543
1.5236264 -0.23025644 2.7596264
1.5361333 -0.23214652 2.7784245
1.548905 -0.23407668 2.7969449
1.5619323 -0.23604539 2.8151858
1.5752053 -0.23805127 2.8331447
1.5887151 -0.2400929 2.850821
1.6024514 -0.24216874 2.8682113
1.6164048 -0.24427743 2.8853142
1.6305653 -0.24641746 2.9021266
1.6449243 -0.24858743 2.9186475
1.6594714 -0.25078586 2.9348743
1.6741972 -0.25301126 2.9508047
1.6890923 -0.2552623 2.9664369
1.704147 -0.2575374 2.9817684
1.7193516 -0.2598352 2.9967978
1.7346966 -0.26215422 3.0115225
1.7501726 -0.26449296 3.0259402
1.7657696 -0.26685008 3.0400493
1.7814783 -0.26922402 3.0538473
1.7972893 -0.27161342 3.0673323
1.8131924 -0.2740168 3.080502
1.8291785 -0.27643263 3.0933542
1.8452377 -0.2788596 3.1058874
1.8613609 -0.2812962 3.118099
1.8775381 -0.28374094 3.1299868
1.8937596 -0.28619242 3.1415489
1.9100162 -0.28864914 3.1527836
1.926298 -0.29110977 3.1636877
1.9425956 -0.2935727 3.1742601
1.9588994 -0.2960366 3.184498
1.9751998 -0.29849997 3.1944
1.3206033 -0.23520271 2.297806
1.3276321 -0.23645456 2.3250773
1.3351414 -0.23779196 2.3521519
1.3431222 -0.23921336 2.379028
1.3515649 -0.24071705 2.4057035
1.3604598 -0.24230129 2.4321752
1.3697982 -0.24396443 2.4584413
1.37957 -0.2457048 2.4844987
1.389766 -0.24752073 2.5103452
1.4003766 -0.24941054 2.5359771
1.4113926 -0.25137255 2.5613945
1.4228047 -0.25340503 2.5865915
1.4346032 -0.25550637 2.6115677
